[2020-10-27 15:27:17,161][test_detect_image_faces.py 66][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:27:17,293][test_detect_image_faces.py 66][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:27:17,410][test_detect_image_faces.py 66][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:27:17,526][test_detect_image_faces.py 66][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:27:17,639][test_detect_image_faces.py 66][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:27:17,753][test_detect_image_faces.py 66][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:27:17,876][test_detect_image_faces.py 66][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:42:31,104][read_data.py 21][INFO]: 加载 G:\work\IMMTestProject\data\api_test_data.yml 文件......
[2020-10-27 15:42:31,119][read_data.py 24][INFO]: 读到数据 ==>>  {'test_detect_image_faces_success': [['test-project', 'oss://imm-test/testcases/test.jpg', '200', True, True, 'oss://imm-test/testcases/test.jpg'], ['test-project', 'oss://imm-test/testcases/test.png', '200', True, True, 'oss://imm-test/testcases/test.png'], ['test-project', 'oss://imm-test/testcases/test.bmp', '200', True, True, 'oss://imm-test/testcases/test.bmp'], ['test-project', 'oss://imm-test/testcases/test.tif', '200', True, True, 'oss://imm-test/testcases/test.tif'], ['test-project', 'oss://imm-test/testcases/test.gif', '200', True, True, 'oss://imm-test/testcases/test.gif']], 'test_detect_image_faces_fail': [['non-exist-project', 'oss://imm-test/testcases/test.jpg', '400', True, False, False, 'project不存在'], ['other-user-project', 'oss://imm-test/testcases/test.jpg', '400', True, False, False, 'project不是当前用户的project'], ['test-project', 'oss://imm-test/testcases', '400', True, False, False, 'ImageUri路径不是图片'], ['test-project', 'oss://aaa/testcases/test.jpg', '400', True, False, False, '当前project不存在的obs'], ['test-project', 'test://imm-test/testcases/test.jpg', '400', True, False, False, 'ImageUri路径格式异常'], ['test-project', 'oss://imm-test/testcases/notexistpic.jpg', '400', True, False, False, 'ImageUri路径图片不存在'], ['test-project', 'oss://imm-test/testcases/test.txt', '400', True, False, False, 'ImageUri不是图片格式'], ['test-project', 'oss://imm-test/testcases/aaa.jpg', '400', True, False, False, '图片异常分析失败']]} 
[2020-10-27 15:42:31,759][test_detect_image_faces.py 25][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:42:31,928][test_detect_image_faces.py 57][INFO]: *************** 结束执行用例 ***************
[2020-10-27 15:42:31,941][test_detect_image_faces.py 25][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:42:32,054][test_detect_image_faces.py 57][INFO]: *************** 结束执行用例 ***************
[2020-10-27 15:42:32,065][test_detect_image_faces.py 25][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:42:32,180][test_detect_image_faces.py 57][INFO]: *************** 结束执行用例 ***************
[2020-10-27 15:42:32,187][test_detect_image_faces.py 25][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:42:32,306][test_detect_image_faces.py 57][INFO]: *************** 结束执行用例 ***************
[2020-10-27 15:42:32,317][test_detect_image_faces.py 25][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:42:32,435][test_detect_image_faces.py 57][INFO]: *************** 结束执行用例 ***************
[2020-10-27 15:42:32,448][test_detect_image_faces.py 64][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:42:32,563][test_detect_image_faces.py 91][INFO]: *************** 结束执行用例 ***************
[2020-10-27 15:42:32,568][test_detect_image_faces.py 64][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:42:32,674][test_detect_image_faces.py 91][INFO]: *************** 结束执行用例 ***************
[2020-10-27 15:42:32,678][test_detect_image_faces.py 64][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:42:32,786][test_detect_image_faces.py 91][INFO]: *************** 结束执行用例 ***************
[2020-10-27 15:42:32,798][test_detect_image_faces.py 64][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:42:32,910][test_detect_image_faces.py 91][INFO]: *************** 结束执行用例 ***************
[2020-10-27 15:42:32,918][test_detect_image_faces.py 64][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:42:33,035][test_detect_image_faces.py 91][INFO]: *************** 结束执行用例 ***************
[2020-10-27 15:42:33,040][test_detect_image_faces.py 64][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:42:33,146][test_detect_image_faces.py 91][INFO]: *************** 结束执行用例 ***************
[2020-10-27 15:42:33,157][test_detect_image_faces.py 64][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:42:33,280][test_detect_image_faces.py 91][INFO]: *************** 结束执行用例 ***************
[2020-10-27 15:42:33,291][test_detect_image_faces.py 64][INFO]: *************** 开始执行用例 ***************
[2020-10-27 15:42:33,408][test_detect_image_faces.py 91][INFO]: *************** 结束执行用例 ***************
[2020-10-27 16:11:03,201][read_data.py 21][INFO]: 加载 G:\work\IMMTestProject\data\api_test_data.yml 文件......
